county,precinct,office,district,party,candidate,votes,election_day,absentee,mail
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,REP,Write-In Totals,4,3,1,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,REP,Total Votes Cast,4,3,1,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,DEM,NICOLE GALLOWAY,497,432,19,46
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,DEM,JIMMIE MATTHEWS,16,15,0,1
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,DEM,ANTOIN JOHNSON,48,35,4,9
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,DEM,ERIC MORRISON,109,93,4,12
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,7,7,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,DEM,Total Votes Cast,677,582,27,68
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,DEM,GREGORY A UPCHURCH,107,94,6,7
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,DEM,ALISSIA CANADY,550,465,21,64
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,DEM,Total Votes Cast,657,559,27,71
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,DEM,YINKA FALETI,617,529,22,66
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,DEM,Total Votes Cast,617,529,22,66
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,DEM,VICKI LORENZ ENGLUND,612,527,23,62
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,DEM,Total Votes Cast,612,527,23,62
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,DEM,RICH FINNERAN,439,389,9,41
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,DEM,ELAD GROSS,185,145,13,27
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,DEM,Total Votes Cast,624,534,22,68
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,DEM,EMANUEL CLEAVER II,671,572,27,72
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,DEM,MAITE SALAZAR,25,24,0,1
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,DEM,Total Votes Cast,696,596,27,73
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,DEM,BARBARA ANNE WASHINGTON,618,533,23,62
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,DEM,RYAN MYERS,54,43,3,8
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,DEM,Total Votes Cast,672,576,26,70
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,DEM,YOLANDA YOUNG,465,387,22,56
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,DEM,KEVON GRAVES,65,56,3,6
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,DEM,BRYCE BRADFORD,121,118,1,2
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,DEM,SHEONI GIVENS,13,10,1,2
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,DEM,JEFF FRANCIS,19,17,0,2
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,DEM,Total Votes Cast,683,588,27,68
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,DEM,JEAN PETERS BAKER,601,509,24,68
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,DEM,Total Votes Cast,601,509,24,68
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,DEM,DARRYL FORTÈ,640,544,25,71
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,DEM,MIKE SHARP,46,43,1,2
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,DEM,Total Votes Cast,686,587,26,73
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,DEM,BRANDON ELLINGTON,521,435,23,63
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,DEM,ALAN A. YOUNG SR.,157,149,1,7
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,DEM,Write-In Totals,1,1,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,DEM,Total Votes Cast,679,585,24,70
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,DEM,BARBARA ANNE WASHINGTON,638,545,23,70
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,DEM,Write-In Totals,6,6,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,DEM,Total Votes Cast,644,551,23,70
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,LIB,RIK COMBS,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,LIB,BILL SLANTZ,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,LIB,CARL HERMAN FREESE,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,LIB,NICHOLAS (NICK) KASOFF,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,LIB,KEVIN C BABCOCK,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,LIB,ROBIN DOMINICK,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,LIB,Write-In Totals,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,LIB,Write-In Totals,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,GRE,JEROME HOWARD BAUER,3,3,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,GRE,KELLEY DRAGOO,2,2,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,GRE,Total Votes Cast,2,2,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,GRE,PAUL LEHMANN,3,3,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,GRE,JOSEPH CIVETTINI,3,3,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,GRE,Write-In Totals,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,GRE,Write-In Totals,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",GOVERNOR,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",LIEUTENANT GOVERNOR,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,CON,PAUL VENABLE,1,1,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SECRETARY OF STATE,,CON,Total Votes Cast,1,1,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",STATE TREASURER,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",ATTORNEY GENERAL,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",U.S. House,5,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,9,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",State House,22,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",PROSECUTING ATTORNEY Jackson County,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",SHERIFF Jackson County,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,CON,Write-In Totals,1,1,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEMAN Ward 3,,CON,Total Votes Cast,1,1,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,CON,Write-In Totals,1,1,0,0
Kansas City,"W3-P9,6,7,8,11,13,14",COUNTY COMMITTEEWOMAN Ward 3,,CON,Total Votes Cast,1,1,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,,,2215,1875,113,227
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,NON,,43,34,5,4
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,REP,,103,80,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,DEM,,2051,1744,97,210
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,LIB,,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,GRE,,6,6,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",Ballots Cast,,CON,,3,2,1,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",CONSTITUTIONAL AMENDMENT NO. 2,,,Yes,2099,1787,99,213
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",CONSTITUTIONAL AMENDMENT NO. 2,,,No,85,67,10,8
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",CONSTITUTIONAL AMENDMENT NO. 2,,,Total Votes Cast,2184,1854,109,221
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,REP,RALEIGH RITTER,1,1,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,REP,MIKE PARSON,67,52,8,7
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,REP,JAMES W. (JIM) NEELY,16,12,2,2
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,REP,SAUNDRA MCDOWELL,15,11,0,4
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,REP,Total Votes Cast,99,76,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,REP,ARNIE C. AC DIENOFF,9,7,0,2
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,REP,MIKE KEHOE,43,32,5,6
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,REP,AARON T WISDOM,11,7,1,3
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,REP,MIKE CARTER,24,21,1,2
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,REP,Total Votes Cast,87,67,7,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SECRETARY OF STATE,,REP,JOHN R. (JAY) ASHCROFT,97,74,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SECRETARY OF STATE,,REP,Total Votes Cast,97,74,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",STATE TREASURER,,REP,SCOTT FITZPATRICK,94,71,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",STATE TREASURER,,REP,Total Votes Cast,94,71,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,REP,ERIC SCHMITT,95,72,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,REP,Total Votes Cast,95,72,10,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,CLAY CHASTAIN,26,19,2,5
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,RYAN DERKS,27,21,3,3
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,WELDON (WILBUR) WOODWARD,6,4,0,2
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,RICHONDA OAKS,5,4,0,1
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,R H (TWIN BEARS) HESS,6,4,0,2
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,JERRY W BARHAM,17,15,2,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,REP,Total Votes Cast,87,67,7,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State Senate,7,REP,No Candidate Filed,0,0,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State Senate,7,REP,Total Votes Cast,0,0,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State House,24,REP,No Candidate Filed,0,0,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State House,24,REP,Total Votes Cast,0,0,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",PROSECUTING ATTORNEY Jackson County,,REP,TRACEY CHAPPELL,84,64,7,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",PROSECUTING ATTORNEY Jackson County,,REP,Total Votes Cast,84,64,7,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SHERIFF Jackson County,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SHERIFF Jackson County,,REP,Total Votes Cast,0,0,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEMAN Ward 4,,REP,MARK ANTHONY JONES,81,60,8,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEMAN Ward 4,,REP,Write-In Totals,3,3,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEMAN Ward 4,,REP,Total Votes Cast,84,63,8,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEWOMAN Ward 4,,REP,CLAUDIA S. TOOMIM,78,57,8,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEWOMAN Ward 4,,REP,Write-In Totals,4,4,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEWOMAN Ward 4,,REP,Total Votes Cast,82,61,8,13
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,DEM,NICOLE GALLOWAY,1758,1477,89,192
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,DEM,JIMMIE MATTHEWS,13,11,1,1
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,DEM,ANTOIN JOHNSON,90,82,2,6
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,DEM,ERIC MORRISON,108,101,3,4
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,21,17,1,3
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,DEM,Total Votes Cast,1990,1688,96,206
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,DEM,GREGORY A UPCHURCH,135,115,6,14
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,DEM,ALISSIA CANADY,1785,1510,89,186
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,DEM,Total Votes Cast,1920,1625,95,200
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SECRETARY OF STATE,,DEM,YINKA FALETI,1804,1526,90,188
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SECRETARY OF STATE,,DEM,Total Votes Cast,1804,1526,90,188
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",STATE TREASURER,,DEM,VICKI LORENZ ENGLUND,1773,1496,90,187
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",STATE TREASURER,,DEM,Total Votes Cast,1773,1496,90,187
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,DEM,RICH FINNERAN,595,467,44,84
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,DEM,ELAD GROSS,1197,1045,43,109
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,DEM,Total Votes Cast,1792,1512,87,193
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,DEM,EMANUEL CLEAVER II,1532,1275,84,173
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,DEM,MAITE SALAZAR,460,414,11,35
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,DEM,Total Votes Cast,1992,1689,95,208
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State Senate,7,DEM,MICHAEL R. BROWN,493,437,24,32
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State Senate,7,DEM,GREG RAZER,1372,1137,67,168
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State Senate,7,DEM,Total Votes Cast,1865,1574,91,200
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State House,24,DEM,EMILY WEBER,1370,1137,77,156
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State House,24,DEM,CONNOR NOWALK,388,352,10,26
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State House,24,DEM,SAMMIE ARNOLD,180,154,5,21
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State House,24,DEM,Total Votes Cast,1938,1643,92,203
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",PROSECUTING ATTORNEY Jackson County,,DEM,JEAN PETERS BAKER,1693,1411,90,192
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",PROSECUTING ATTORNEY Jackson County,,DEM,Total Votes Cast,1693,1411,90,192
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SHERIFF Jackson County,,DEM,DARRYL FORTÈ,1615,1356,77,182
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SHERIFF Jackson County,,DEM,MIKE SHARP,287,250,17,20
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SHERIFF Jackson County,,DEM,Total Votes Cast,1902,1606,94,202
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEMAN Ward 4,,DEM,GENE MORGAN,1664,1390,86,188
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEMAN Ward 4,,DEM,Write-In Totals,10,10,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEMAN Ward 4,,DEM,Total Votes Cast,1674,1400,86,188
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEWOMAN Ward 4,,DEM,"RAFAELA ""LALI"" GARCIA",1707,1432,89,186
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEWOMAN Ward 4,,DEM,Write-In Totals,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",COUNTY COMMITTEEWOMAN Ward 4,,DEM,Total Votes Cast,1715,1440,89,186
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,LIB,RIK COMBS,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",GOVERNOR,,LIB,Total Votes Cast,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,LIB,BILL SLANTZ,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",LIEUTENANT GOVERNOR,,LIB,Total Votes Cast,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SECRETARY OF STATE,,LIB,CARL HERMAN FREESE,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",SECRETARY OF STATE,,LIB,Total Votes Cast,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",STATE TREASURER,,LIB,NICHOLAS (NICK) KASOFF,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",STATE TREASURER,,LIB,Total Votes Cast,8,8,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,LIB,KEVIN C BABCOCK,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",ATTORNEY GENERAL,,LIB,Total Votes Cast,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,LIB,ROBIN DOMINICK,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",U.S. House,5,LIB,Total Votes Cast,9,9,0,0
Kansas City,"W4-P1,2,6,7,8,9,10,12,13,14,15",State Senate,7,LIB,No Candidate Filed,0,0,0,0
